,title,doi,no_citations,in_dataset,year
904,Helminth parasites – masters of regulation,10.1111/j.0105-2896.2004.00191.x,2,No,2004
387,Silver nanoparticles promote osteogenesis of mesenchymal stem cells and improve bone fracture healing in osteogenesis mechanism mouse model,10.1016/j.nano.2015.07.016,2,No,2015
178,Sliding of drops from surfaces of different roughnesses,10.1016/0095-8522(50)90059-6,2,No,1950
896,Geographical gradients in the biodiversity of Chinese freshwater molluscs: Implications for conservation,10.1111/ddi.12695,1,No,2018
903,Global patterns and drivers of species and trait composition in diatoms,10.1111/geb.12452,1,No,2016
902,Climate is an important driver for stream diatom distributions,10.1111/geb.12399,1,No,2016
901,Interpreting the replacement and richness difference components of beta diversity,10.1111/geb.12207,1,No,2014
900,A global 1‐km consensus land‐cover product for biodiversity and ecosystem modelling,10.1111/geb.12182,1,No,2014
899,Thermal and hydrologic responses to climate change predict marked alterations in boreal stream invertebrate assemblages,10.1111/gcb.14053,1,No,2018
898,Environmental predictability of taxonomic and functional community composition in high‐latitude streams,10.1111/fwb.12832,1,No,2017
897,Integrating trait and phylogenetic distances to assess scale‐dependent community assembly processes,10.1111/ecog.02263,1,No,2017
0,The Global Assessment Scale,10.1001/archpsyc.1976.01770060086012,1,No,1976
895,Exhaled nitric oxide dynamics in asthmatic reactions induced by diisocyanates,10.1111/cea.12798,1,No,2016
905,Vector autoregression (var) — an approach to dynamic analysis of geographic processes,10.1111/j.0435-3684.2001.00095.x,1,No,2001
893,Your pain is not mine: A critique of clinical empathy,10.1111/bioe.12980,1,No,2022
892,Helminths and their implication in sepsis - a new branch of their immunomodulatory behaviour?,10.1111/2049-632X.12080,1,No,2013
891,"<scp>BAT</scp> – Biodiversity Assessment Tools, an R package for the measurement and estimation of alpha and beta taxon, phylogenetic and functional diversity",10.1111/2041-210X.12310,1,No,2015
890,"Tectonically‐controlled Evolution of the Late Cenozoic Nihewan Basin, North China Craton: Constraints from Stratigraphy, Mineralogy, and Geochemistry",10.1111/1755-6724.13553,1,No,2018
889,Fe Isotope Geochemistry of Hydrothermal Fe Exhalites,10.1111/1755-6724.13173,1,No,2017
888,Modelling Regional House Prices in the UK,10.1111/1467-9485.00055,1,No,1997
894,Helping Head Start Parents Promote Their Children's Kindergarten Adjustment: The Research‐Based Developmentally Informed Parent Program,10.1111/cdev.12448,1,No,2015
906,Ecological filters and variability in stream macroinvertebrate communities: do taxonomic and functional structure follow the same path?,10.1111/j.0906-7590.2007.04894.x,1,No,2007
886,Comparison of migration‐based location and detection methods for microseismic events,10.1111/1365-2478.12366,1,No,2017
907,"Hay fever, a post industrial revolution epidemic: a history of its growth during the 19th century",10.1111/j.1365-2222.1988.tb02872.x,1,No,1988
924,Evolutionary stellar population synthesis with MILES - I. The base models and a new line index system,10.1111/j.1365-2966.2010.16407.x,1,No,2010
923,Discriminating between the physical processes that drive spheroid size evolution,10.1111/j.1365-2966.2009.15699.x,1,No,2010
922,Compact high-redshift galaxies are the cores of the most massive present-day spheroids,10.1111/j.1365-2966.2009.15062.x,1,No,2009
921,Measuring the inclination and mass-to-light ratio of axisymmetric galaxies via anisotropic Jeans models of stellar kinematics,10.1111/j.1365-2966.2008.13754.x,1,No,2008
920,"The SAURON project--IV. The mass-to-light ratio, the virial mass estimator and the Fundamental Plane of elliptical and lenticular galaxies",10.1111/j.1365-2966.2005.09981.x,1,No,2006
919,Tumourigenic effect of <i>Schistosoma haematobium</i> total antigen in mammalian cells,10.1111/j.1365-2613.2009.00650.x,1,No,2009
918,Protective immunity against the gastrointestinal nematode Nippostrongylus brasiliensis requires a broad T-cell receptor repertoire,10.1111/j.1365-2567.2011.03480.x,1,No,2011
917,Inhibition of type 1 diabetes in filaria‐infected non‐obese diabetic mice is associated with a T helper type 2 shift and induction of FoxP3<sup>+</sup> regulatory T cells,10.1111/j.1365-2567.2008.02958.x,1,No,2009
916,Testing the ability of surface arrays to monitor microseismic activity,10.1111/j.1365-2478.2010.00893.x,1,No,2010
915,Magnetostratigraphy of the Xihe loess-soil sequence and implication for late Neogene deformation of the West Qinling Mountains,10.1111/j.1365-246X.2012.05461.x,1,No,2012
914,The Source-Scanning Algorithm: mapping the distribution of seismic sources in time and space,10.1111/j.1365-246X.2004.02276.x,1,No,2004
913,A macroecological perspective of diversity patterns in the freshwater realm,10.1111/j.1365-2427.2011.02610.x,1,No,2011
912,Spatial scale and ecological relationships between the macroinvertebrate communities of stony habitats of streams and lakes,10.1111/j.1365-2427.2004.01262.x,1,No,2004
911,Patterns of benthic invertebrate assemblages in rivers of northwestern North America,10.1111/j.1365-2427.1989.tb01358.x,1,No,1989
910,"The therapeutic potential of the filarial nematode-derived immunodulator, ES-62 in inflammatory disease",10.1111/j.1365-2249.2009.04064.x,1,No,2010
909,Helminth antigen-based strategy to ameliorate inflammation in an experimental model of colitis,10.1111/j.1365-2249.2008.03805.x,1,No,2008
908,Gastrointestinal nematode infection interferes with experimental allergic airway inflammation but not atopic dermatitis,10.1111/j.1365-2222.2009.03290.x,1,No,2009
887,The Role of Mental Health Factors and Program Engagement in the Effectiveness of a Preventive Parenting Program for Head Start Mothers,10.1111/1467-8624.00616,1,No,2003
885,Moment tensor migration imaging,10.1111/1365-2478.12108,1,No,2014
926,A comprehensive classification of galaxies in the Sloan Digital Sky Survey: how to tell true from fake AGN?,10.1111/j.1365-2966.2011.18244.x,1,No,2011
864,Role of the Intramolecular Phase in High-Harmonic Generation,10.1103/PhysRevLett.88.183903,1,No,2002
862,"Order<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:mrow><mml:msup><mml:mrow><mml:mi>α</mml:mi></mml:mrow><mml:mrow><mml:mn>7</mml:mn></mml:mrow></mml:msup></mml:mrow><mml:mi>ln</mml:mi><mml:mo>(</mml:mo><mml:mn>1</mml:mn><mml:mi>/</mml:mi><mml:mi>α</mml:mi><mml:mo>)</mml:mo></mml:math>Contribution to Positronium Hyperfine Splitting",10.1103/PhysRevLett.85.5094,1,No,2002
861,Resolving Multiple Molecular Orbitals Using Two-Dimensional High-Harmonic Spectroscopy,10.1103/PhysRevLett.114.153901,1,No,2015
860,Attosecond Pulse Shaping around a Cooper Minimum,10.1103/PhysRevLett.112.153001,1,No,2014
859,Controlling the Interference of Multiple Molecular Orbitals in High-Harmonic Generation,10.1103/PhysRevLett.104.233904,1,No,2010
858,Observation of Electronic Structure Minima in High-Harmonic Generation,10.1103/PhysRevLett.102.103901,1,No,2009
857,Elliptically Polarized High-Order Harmonic Emission from Molecules in Linearly Polarized Laser Fields,10.1103/PhysRevLett.102.073902,1,No,2009
856,Molecular Recollision Interferometry in High Harmonic Generation,10.1103/PhysRevLett.100.073902,1,No,2008
855,Disjoining potential and spreading of thin liquid layers in the diffuse-interface model coupled to hydrodynamics,10.1103/PhysRevE.62.2480,1,No,2002
854,Nanosecond-to-femtosecond laser-induced breakdown in dielectrics,10.1103/PhysRevB.53.1749,1,No,2002
853,Polarization Characteristics of Scattered Radiation from a Diffraction Grating by Ellipsometry with Application to Surface Roughness,10.1103/PhysRevB.5.4721,1,No,2002
852,High-order-harmonic generation in atomic and molecular systems,10.1103/PhysRevA.95.033415,1,No,2017
851,"Influence of vibrational states on high-order-harmonic generation and an isolated attosecond pulse from a<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:msub><mml:mi mathvariant=""normal"">N</mml:mi><mml:mn>2</mml:mn></mml:msub></mml:math>molecule",10.1103/PhysRevA.90.053410,1,No,2014
850,Tomographic reconstruction of molecular orbitals with twofold mirror antisymmetry: Overcoming the nodal plane problem,10.1103/PhysRevA.87.045402,1,No,2013
849,High-harmonic spectroscopy of isoelectronic molecules: Wavelength scaling of electronic-structure and multielectron effects,10.1103/PhysRevA.87.033409,1,No,2013
848,Quantum interference and multielectron effects in high-harmonic spectra of polar molecules,10.1103/PhysRevA.87.031401,1,No,2013
847,Conditions for extracting photoionization cross sections from laser-induced high-order-harmonic spectra,10.1103/PhysRevA.86.015401,1,No,2012
846,"Intensity dependence of multiple orbital contributions and shape resonance in high-order harmonic generation of aligned N<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" display=""inline""><mml:msub><mml:mrow/><mml:mn>2</mml:mn></mml:msub></mml:math>molecules",10.1103/PhysRevA.85.013405,1,No,2012
863,"Corners, Cusps, and Pearls in Running Drops",10.1103/PhysRevLett.87.036102,1,No,2002
865,Controlling High Harmonic Generation with Molecular Wave Packets,10.1103/PhysRevLett.94.123902,1,No,2005
884,Locating microseismic events using borehole data,10.1111/1365-2478.12076,1,No,2014
866,Controlling Two-Center Interference in Molecular High Harmonic Generation,10.1103/PhysRevLett.95.153902,1,No,2005
883,Phylogenetic patterns are not proxies of community assembly mechanisms (they are far better),10.1111/1365-2435.12425,1,No,2015
882,Universally composable security: a new paradigm for cryptographic protocols,10.1109/SFCS.2001.959888,1,No,2001
881,A layout-similarity-based approach for detecting phishing pages,10.1109/SECCOM.2007.4550367,1,No,2007
880,A Tool for Computing the Visual Similarity of Web Pages,10.1109/SAINT.2010.17,1,No,2010
879,Laser wafering,10.1109/PVSC.2012.6317948,1,No,2012
878,Python for Scientific Computing,10.1109/MCSE.2007.58,1,No,2007
877,Laser dicing of chip scale and silicon wafer scale packages,10.1109/IEMT.2003.1225869,1,No,2004
876,A General Approach for Partitioning Web Page Content Based on Geometric and Style Information,10.1109/ICDAR.2007.4377051,1,No,2007
875,The pyramid match kernel: discriminative classification with sets of image features,10.1109/ICCV.2005.239,1,No,2005
874,Articulatory synthesis of formant targeted sounds with parameters derived from the inverse solution of speech production,10.1109/ICASSP.1998.675408,1,No,2002
873,Automatic Proofs of Privacy of Secure Multi-party Computation Protocols against Active Adversaries,10.1109/CSF.2015.13,1,No,2015
872,Visual similarity-based phishing detection without victim site information,10.1109/CICYBS.2009.4925087,1,No,2009
871,Structural and visual similarity learning for Web page archiving,10.1109/CBMI.2012.6269849,1,No,2012
870,Attosecond physics,10.1103/RevModPhys.81.163,1,No,2009
869,<i>Colloquium</i>: Aligning molecules with strong laser pulses,10.1103/RevModPhys.75.543,1,No,2003
868,Wetting: statics and dynamics,10.1103/RevModPhys.57.827,1,No,2002
